,ds,y
828,2018-04-08,9608
829,2018-04-09,12403
830,2018-04-10,11558
831,2018-04-11,13817
832,2018-04-12,13605
833,2018-04-13,11425
834,2018-04-14,6710
835,2018-04-15,7837
836,2018-04-16,14120
837,2018-04-17,12988
838,2018-04-18,13512
839,2018-04-19,15867
840,2018-04-20,15552
841,2018-04-21,10846
842,2018-04-22,4497
843,2018-04-23,2598
844,2018-04-24,4781
845,2018-04-25,10986
846,2018-04-26,11151
847,2018-04-27,15373
848,2018-04-28,16469
849,2018-04-29,16366
850,2018-04-30,16249
851,2018-05-01,15853
852,2018-05-02,14711
853,2018-05-03,15608
854,2018-05-04,10703
855,2018-05-05,10368
856,2018-05-06,13636
857,2018-05-07,15398
858,2018-05-08,16156
859,2018-05-09,13385
860,2018-05-10,15594
861,2018-05-11,15586
862,2018-05-12,15240
863,2018-05-13,15119
864,2018-05-14,8592
865,2018-05-15,9304
866,2018-05-16,7404
867,2018-05-17,8283
868,2018-05-18,4187
869,2018-05-19,9370
870,2018-05-20,11099
871,2018-05-21,11938
872,2018-05-22,12193
873,2018-05-23,14260
874,2018-05-24,12244
875,2018-05-25,9823
876,2018-05-26,12347
877,2018-05-27,4118
878,2018-05-28,6465
879,2018-05-29,9173
880,2018-05-30,9608
881,2018-05-31,16005
882,2018-06-01,12748
883,2018-06-02,15913
884,2018-06-03,17292
885,2018-06-04,12768
886,2018-06-05,14091
887,2018-06-06,15762
888,2018-06-07,14746
889,2018-06-08,14367
890,2018-06-09,15964
891,2018-06-10,10711
892,2018-06-11,3549
893,2018-06-12,13396
894,2018-06-13,14483
895,2018-06-14,13099
896,2018-06-15,13776
897,2018-06-16,15336
898,2018-06-17,15401
899,2018-06-18,16187
900,2018-06-19,12976
901,2018-06-20,11283
902,2018-06-21,15303
903,2018-06-22,14468
904,2018-06-23,16293
905,2018-06-24,10795
906,2018-06-25,1866
907,2018-06-26,9485
908,2018-06-27,14977
909,2018-06-28,13244
910,2018-06-29,13419
911,2018-06-30,15602
912,2018-07-01,15215
913,2018-07-02,15700
914,2018-07-03,13631
915,2018-07-04,13590
916,2018-07-05,12283
917,2018-07-06,8014
918,2018-07-07,16961
919,2018-07-08,17667
920,2018-07-09,16652
921,2018-07-10,15595
922,2018-07-11,11018
923,2018-07-12,13404
924,2018-07-13,16360
925,2018-07-14,14698
926,2018-07-15,11658
927,2018-07-16,12523
928,2018-07-17,13062
929,2018-07-18,16203
930,2018-07-19,10811
931,2018-07-20,9931
932,2018-07-21,10067
933,2018-07-22,8660
